product_id,product_name,section,label,value,note
1000000045,완두시루떡,헤더,우선순위,정상 유지,최근 30일 매출이 직전기간 대비 47.5% 유지 또는 개선 / 첫구매기여 기준 첫구매기여 근거 1.00
1000000045,완두시루떡,Revenue,최근 30일 대비,47.5%,최근 30일 매출이 직전기간 대비 47.5% 유지 또는 개선
1000000045,완두시루떡,Role,현재 taxonomy,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00
1000000045,완두시루떡,Brand Score,상태,limited,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
1000000045,완두시루떡,근거,반복 구매,0.51,반복 루프 0건
1000000045,완두시루떡,근거,동시 구매,0.00,동시구매 pair 0건
1000000110,매화 3송이 2호,헤더,우선순위,정상 유지,최근 30일 매출이 직전기간 대비 65.9% 유지 또는 개선 / 첫구매기여 기준 첫구매기여 근거 1.00
1000000110,매화 3송이 2호,Revenue,최근 30일 대비,65.9%,최근 30일 매출이 직전기간 대비 65.9% 유지 또는 개선
1000000110,매화 3송이 2호,Role,현재 taxonomy,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00
1000000110,매화 3송이 2호,Brand Score,상태,limited,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
1000000110,매화 3송이 2호,근거,반복 구매,0.08,반복 루프 0건
1000000110,매화 3송이 2호,근거,동시 구매,0.00,동시구매 pair 0건
1000000108,매화 2송이 2호,헤더,우선순위,정상 유지,최근 30일 매출이 직전기간 대비 76.2% 유지 또는 개선 / 첫구매기여 기준 첫구매기여 근거 1.00
1000000108,매화 2송이 2호,Revenue,최근 30일 대비,76.2%,최근 30일 매출이 직전기간 대비 76.2% 유지 또는 개선
1000000108,매화 2송이 2호,Role,현재 taxonomy,첫구매기여,첫구매기여 기준 첫구매기여 근거 1.00
1000000108,매화 2송이 2호,Brand Score,상태,limited,산식은 계산했지만 basket 또는 event 재현이 제한적입니다.
1000000108,매화 2송이 2호,근거,반복 구매,0.22,반복 루프 0건
1000000108,매화 2송이 2호,근거,동시 구매,0.00,동시구매 pair 0건
