date,product_id,product_name_latest,convergence_gravity_score,return_gravity_score,distinct_source_product_cnt_90d,return_customer_rate_90d,return_loop_rate_90d,simple_repeat_rate_90d
2026-04-15,1000000092,일리향 3단,1.3403834413388352E-1,8.153138494286051E-2,11,1.3245033112582781E-2,1.3245033112582781E-2,5.9602649006622516E-2
2026-04-15,1000000093,매화 2송이 1호,3.473346789449318E-1,1.1087097860767596E-1,17,1.2640449438202247E-2,1.2640449438202247E-2,1.0955056179775281E-1
2026-04-15,1000000094,매화 3송이 1호,1.5235009019842907E-1,1.0494026502027044E-1,11,1.6129032258064516E-2,1.6129032258064516E-2,9.13978494623656E-2
2026-04-15,1000000108,매화 2송이 2호,2.3175149069405052E-1,2.269010971494631E-1,14,3.2520325203252036E-2,3.2520325203252036E-2,1.016260162601626E-1
2026-04-15,1000000110,매화 3송이 2호,5.4045170857394104E-2,6.763738147408517E-2,5,1.36986301369863E-2,1.36986301369863E-2,9.58904109589041E-2
2026-04-15,1000000111,매화 3송이 3호,2.883785296642318E-1,8.850519831206596E-2,17,1.1764705882352941E-2,1.1764705882352941E-2,1.0E-1
2026-04-15,1000000112,매화 5송이 2호,6.875733397041336E-2,1.7233418252674035E-1,6,3.225806451612903E-2,3.225806451612903E-2,3.225806451612903E-2
2026-04-15,1000000113,매화 5송이 3호,7.07017104283752E-2,1.2760686602122429E-1,7,1.9230769230769232E-2,2.8846153846153848E-2,7.692307692307693E-2
2026-04-15,1000000121,깨송편 1kg,1.714979711675607E-1,2.2567305295496287E-1,11,2.1739130434782608E-2,5.434782608695652E-2,9.239130434782608E-2
2026-04-15,1000000127,흑임자이티,8.317347563066832E-2,2.0859811658065197E-1,6,2.8225806451612902E-2,3.225806451612903E-2,8.064516129032258E-3
2026-04-15,1000000128,흑임자인절미,2.183880725230219E-2,7.524513261432E-2,2,1.6129032258064516E-2,1.6129032258064516E-2,0
2026-04-15,1000000142,경기 미숫가루,1.3849033499370514E-2,0,2,0,0,0
2026-04-15,1000000143,"경기참기름, 경기들기름",1.4326939914318881E-2,1.2428378308354665E-1,2,3.8461538461538464E-2,3.8461538461538464E-2,0
2026-04-15,1000000153,유밀상,7.683202469328133E-2,0,8,0,0,5.454545454545454E-2
2026-04-15,1000000154,화연상,8.715879961546867E-3,0,1,0,0,1.0526315789473684E-1
