order_id,order_at,product_id,member_id,event_type,quantity,payment_amount
2603212027366970,2026-03-21 11:27:36.000 UTC,1000000108,0,purchase,40,184000.000000
2603212027484551,2026-03-21 11:27:48.000 UTC,1000000108,0,purchase,40,184000.000000
2603220031125741,2026-03-21 15:31:12.000 UTC,1000000063,66474,purchase,1,23500.000000
2603220723467162,2026-03-21 22:23:46.000 UTC,1000000063,63204,purchase,1,46000.000000
2603220723467162,2026-03-21 22:23:46.000 UTC,1000000127,63204,purchase,1,46000.000000
2603220913077783,2026-03-22 00:13:07.000 UTC,1000000045,0,purchase,1,40000.000000
2603220913077783,2026-03-22 00:13:07.000 UTC,1000000064,0,purchase,1,43000.000000
2603220939428554,2026-03-22 00:39:42.000 UTC,1000000044,16601,purchase,1,87500.000000
2603220939428554,2026-03-22 00:39:42.000 UTC,1000000064,16601,purchase,1,85000.000000
2603220947008605,2026-03-22 00:47:00.000 UTC,1000000044,16601,purchase,1,87500.000000
2603220947008605,2026-03-22 00:47:00.000 UTC,1000000064,16601,purchase,1,85000.000000
2603221028463766,2026-03-22 01:28:46.000 UTC,1000000063,66477,purchase,1,90000.000000
2603221028463766,2026-03-22 01:28:46.000 UTC,1000000127,66477,purchase,1,90000.000000
2603221403123247,2026-03-22 05:03:12.000 UTC,1000000085,66482,purchase,2,109000.000000
2603221526008018,2026-03-22 06:26:00.000 UTC,1000000094,65983,purchase,22,143000.000000
2603221550173809,2026-03-22 06:50:17.000 UTC,1000000084,66054,purchase,1,27000.000000
2603221608395240,2026-03-22 07:08:39.000 UTC,1000000108,66484,purchase,50,225000.000000
2603222001066881,2026-03-22 11:01:06.000 UTC,1000000044,66490,purchase,1,45000.000000
2603222001066881,2026-03-22 11:01:06.000 UTC,1000000064,66490,purchase,1,43000.000000
2603222003265152,2026-03-22 11:03:26.000 UTC,1000000044,66490,purchase,1,45000.000000
2603222003265152,2026-03-22 11:03:26.000 UTC,1000000064,66490,purchase,1,43000.000000
2603222016123163,2026-03-22 11:16:12.000 UTC,1000000064,0,purchase,1,22000.000000
2603222018259054,2026-03-22 11:18:25.000 UTC,1000000064,0,purchase,1,22000.000000
2603222020235505,2026-03-22 11:20:23.000 UTC,1000000064,0,purchase,1,22000.000000
2603222211435816,2026-03-22 13:11:43.000 UTC,1000000063,0,purchase,1,23500.000000
2603222217508407,2026-03-22 13:17:50.000 UTC,1000000062,66428,purchase,1,21000.000000
2603222217508407,2026-03-22 13:17:50.000 UTC,1000000063,66428,purchase,1,23500.000000
2603222217508407,2026-03-22 13:17:50.000 UTC,1000000084,66428,purchase,2,61000.000000
2603222217508407,2026-03-22 13:17:50.000 UTC,1000000087,66428,purchase,2,130000.000000
2603222217508407,2026-03-22 13:17:50.000 UTC,1000000111,66428,purchase,100,700000.000000
2603222217508407,2026-03-22 13:17:50.000 UTC,1000000127,66428,purchase,1,23500.000000
2603222235115258,2026-03-22 13:35:11.000 UTC,1000000108,34123,purchase,65,292500.000000
2603222239189109,2026-03-22 13:39:19.000 UTC,1000000108,34123,purchase,65,292500.000000
2603222240597500,2026-03-22 13:40:59.000 UTC,1000000108,34123,purchase,65,292500.000000
2603222244052071,2026-03-22 13:44:05.000 UTC,1000000064,66498,purchase,1,22000.000000
2603222244052071,2026-03-22 13:44:05.000 UTC,1000000086,66498,purchase,1,77000.000000
2603222244052071,2026-03-22 13:44:05.000 UTC,1000000128,66498,purchase,1,22500.000000
2603222247416772,2026-03-22 13:47:41.000 UTC,1000000094,65983,purchase,12,78000.000000
