as_of_date,window_key,window_days,period_label,product_id,product_name,brand_score,brand_score_status,confidence,numeric_display_policy,event_freshness_gap_days,basket_freshness_gap_days,status_cap_reason,entry_axis,expansion_axis,convergence_axis,return_axis,basket_axis,basket_top_pair_product_id,reconstruction_level,parity_level,limitation_reason,limitation_reason_detail,reconstructed_product_signal,contribution_share,brand_score_note
2026-04-18,1d,1,하루 기준,1000000153,유밀상,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.008944770091401405,0.12474474732117659,0.08137758836035486,0.05454545454545454,0.5185185185185185,1000000156,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.01367355656442284,0.004366802891749952,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1d,1,하루 기준,1000000154,화연상,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.005914762253137116,0.11684975506033066,0.009286984067250375,0.10526315789473684,0.6,1000000153,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.010938650208789846,0.0034933800243214888,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1d,1,하루 기준,1000000027,마스코바도 설기,,limited,Low,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.002602149189876151,0.11500782761547278,0.04417658936191286,0.11764705882352941,1,1000000071,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.010278750939820898,0.0032826338280103526,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1d,1,하루 기준,1000000070,마스코바도 쑥설기,,limited,Low,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.003659877245882678,0.10126468336408205,0.012836562375736413,0.1291641369439822,0.8461538461538461,1000000064,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.010218351882383854,0.003263344714937803,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1d,1,하루 기준,1000000028,마스코바도 딸기설기,,limited,Low,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.00222072661125578,0.060067608117438574,0.03166773224298391,0.15323369417713925,1,1000000045,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.009703865178148684,0.003099037644042538,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1d,1,하루 기준,1000000142,경기 미숫가루,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.009827090661355396,0.14280735956123078,0.01415667964905933,0,0.8571428571428571,1000000045,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.006143603922087015,0.001962028477838701,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1d,1,하루 기준,1000000074,경기 콩약과(10ea),,unavailable,Low,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0,0,0,0,0,,insufficient_reconstruction,low,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음 외 1건,상품 단위 핵심 축이 모두 재구성되지 않았습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,,0,상품별 최종 점수는 아직 산출하지 못했습니다.
2026-04-18,7d,7,최근 7일,1000000087,백리향 1단 (1호 2호 3호),,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.2505882855061744,0.28564606304109647,0.40643672007858733,0.3241039450489323,0.25365853658536586,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.25971088680773535,0.08119872466320009,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,7d,7,최근 7일,1000000045,완두시루떡,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.22403706186884076,0.28963153804052827,0.44233072306555005,0.5237790708278406,0.836734693877551,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.2379361403949226,0.07439084047968528,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,7d,7,최근 7일,1000000064,2색 이티,,limited,High,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,1,0.2830673941394109,1,0.18057702873695175,0.3205882352941177,1000000127,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.19728242468597462,0.06168043812050101,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
