as_of_date,window_key,window_days,period_label,product_id,product_name,product_image_url,revenue_segment,role_taxonomy,priority_level,brand_score_status
2026-04-18,7d,7,최근 7일,1000000127,흑임자이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000127/image/list/1000000127_list_053.jpg,감소,동시구매기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000127,흑임자이티,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000127/image/list/1000000127_list_053.jpg,유지,동시구매기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000044,고구마찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000044/image/list/1000000044_list_088.jpg,감소,동시구매기여,즉시 확인,limited
2026-04-18,7d,7,최근 7일,1000000044,고구마찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000044/image/list/1000000044_list_088.jpg,증가,동시구매기여,정상 유지,limited
2026-04-18,30d,30,최근 30일,1000000044,고구마찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000044/image/list/1000000044_list_088.jpg,증가,동시구매기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000092,일리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000092/image/list/1000000092_list_029.jpg,유지,재구매확장기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000092,일리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000092/image/list/1000000092_list_029.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000092,일리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000092/image/list/1000000092_list_029.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,1d,1,하루 기준,1000000069,설기세트,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000069/image/list/1000000069_list_033.jpg,유지,동시구매기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000069,설기세트,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000069/image/list/1000000069_list_033.jpg,증가,반복구매기여,정상 유지,limited
2026-04-18,30d,30,최근 30일,1000000069,설기세트,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000069/image/list/1000000069_list_033.jpg,증가,반복구매기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000028,마스코바도 딸기설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000028/image/list/1000000028_list_04.jpg,유지,반복구매기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000028,마스코바도 딸기설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000028/image/list/1000000028_list_04.jpg,감소,반복구매기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000028,마스코바도 딸기설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000028/image/list/1000000028_list_04.jpg,유지,반복구매기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000066,쑥인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000066/image/list/1000000066_list_042.jpg,유지,반복구매기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000066,쑥인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000066/image/list/1000000066_list_042.jpg,증가,반복구매기여,정상 유지,limited
2026-04-18,30d,30,최근 30일,1000000066,쑥인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000066/image/list/1000000066_list_042.jpg,증가,반복구매기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000043,모듬영양찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000043/image/list/1000000043_list_012.jpg,유지,동시구매기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000043,모듬영양찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000043/image/list/1000000043_list_012.jpg,감소,동시구매기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000043,모듬영양찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000043/image/list/1000000043_list_012.jpg,감소,동시구매기여,즉시 확인,limited
2026-04-18,1d,1,하루 기준,1000000083,백설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000083/image/list/1000000083_list_054.jpg,유지,반복구매기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000083,백설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000083/image/list/1000000083_list_054.jpg,감소,반복구매기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000083,백설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000083/image/list/1000000083_list_054.jpg,증가,반복구매기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000156,기원상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000156/image/list/1000000156_list_085.jpg,유지,재구매확장기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000156,기원상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000156/image/list/1000000156_list_085.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000156,기원상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000156/image/list/1000000156_list_085.jpg,감소,재구매확장기여,주의 관찰,limited
2026-04-18,1d,1,하루 기준,1000000071,마스코바도 호박설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000071/image/list/1000000071_list_020.jpg,유지,반복구매기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000071,마스코바도 호박설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000071/image/list/1000000071_list_020.jpg,감소,반복구매기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000071,마스코바도 호박설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000071/image/list/1000000071_list_020.jpg,증가,반복구매기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000070,마스코바도 쑥설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000070/image/list/1000000070_list_027.jpg,유지,반복구매기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000070,마스코바도 쑥설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000070/image/list/1000000070_list_027.jpg,감소,반복구매기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000070,마스코바도 쑥설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000070/image/list/1000000070_list_027.jpg,증가,반복구매기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000154,화연상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000154/image/list/1000000154_list_031.jpg,유지,재구매확장기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000154,화연상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000154/image/list/1000000154_list_031.jpg,감소,재구매확장기여,즉시 확인,limited
2026-04-18,30d,30,최근 30일,1000000154,화연상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000154/image/list/1000000154_list_031.jpg,증가,재구매확장기여,정상 유지,limited
2026-04-18,1d,1,하루 기준,1000000128,흑임자인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000128/image/list/1000000128_list_033.jpg,유지,재구매확장기여,정상 유지,limited
2026-04-18,7d,7,최근 7일,1000000128,흑임자인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000128/image/list/1000000128_list_033.jpg,유지,재구매확장기여,정상 유지,limited
2026-04-18,30d,30,최근 30일,1000000128,흑임자인절미,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000128/image/list/1000000128_list_033.jpg,감소,동시구매기여,즉시 확인,limited
2026-04-18,1d,1,하루 기준,1000000143,"경기참기름, 경기들기름",https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000143/image/list/1000000143_list_079.jpg,유지,반복구매기여,정상 유지,limited
