as_of_date,product_id,product_name,product_image_url,priority_level,priority_sort_score,revenue_change_rate_30d,revenue_30d_compare_state,revenue_30d_compare_note,revenue_reason,role_taxonomy,role_reason,role_evidence_status,brand_score_status,brand_score_reason,revenue_freshness_max_date,role_freshness_max_date,brand_revenue_30d_current,brand_revenue_30d_previous,brand_revenue_30d_delta_rate
2026-04-18,1000000153,유밀상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000153/image/list/1000000153_list_092.jpg,즉시 확인,23020000,-0.7,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -70.0%,재구매확장기여,재구매확장기여 기준 score 0.12,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000027,마스코바도 설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000027/image/list/1000000027_list_012.jpg,정상 유지,200000,0.13333333333333333,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 13.3%,반복구매기여,반복구매기여 기준 score 0.12,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000074,경기 콩약과(10ea),https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000074/image/list/1000000074_list_06.jpg,정상 유지,-4200000,0,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 0.0%,동시구매기여,동시구매기여 기준 score 0.01,available,unavailable,브랜드 점수 산출 없음,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000035,떡국떡 500g,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000035/image/list/1000000035_list_093.jpg,즉시 확인,4700000,-0.4722222222222222,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -47.2%,재구매확장기여,재구매확장기여 기준 score 0.20,available,limited,브랜드 점수 참고용,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000155,만복상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000155/image/list/1000000155_list_016.jpg,정상 유지,1000000,0,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 0.0%,관측 없음,역할 근거 없음,unavailable,unavailable,브랜드 점수 상태 없음,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000161,십리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000161/image/list/1000000086_list_048.jpg,정상 유지,1000000,0,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 0.0%,관측 없음,역할 근거 없음,unavailable,unavailable,브랜드 점수 상태 없음,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000072,마스코바도 흑임자설기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000072/image/list/1000000072_list_015.jpg,즉시 확인,5000000,-1,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -100.0%,관측 없음,역할 근거 없음,unavailable,unavailable,브랜드 점수 상태 없음,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000144,경기 미숫가루 쫀드기,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000144/image/list/1000000144_list_070.jpg,즉시 확인,20100000,-1,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -100.0%,관측 없음,역할 근거 없음,unavailable,unavailable,브랜드 점수 상태 없음,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000041,콩영양찰떡,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000041/image/list/1000000041_list_042.jpg,정상 유지,1000000,0,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 0.0%,관측 없음,역할 근거 없음,unavailable,unavailable,브랜드 점수 상태 없음,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000152,첫맛상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000152/image/list/1000000152_list_099.jpg,정상 유지,1000000,0,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 0.0%,관측 없음,역할 근거 없음,unavailable,unavailable,브랜드 점수 상태 없음,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000120,깨송편 4kg,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000120/image/list/1000000120_list_068.jpg,정상 유지,1000000,0,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 0.0%,관측 없음,역할 근거 없음,unavailable,unavailable,브랜드 점수 상태 없음,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000164,백리향 3단,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000164/image/list/1000000089_list_027.jpg,정상 유지,1000000,0,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 0.0%,관측 없음,역할 근거 없음,unavailable,unavailable,브랜드 점수 상태 없음,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000169,기원상,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000169/image/list/1000000169_list_079.jpg,정상 유지,1000000,0,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 0.0%,관측 없음,역할 근거 없음,unavailable,unavailable,브랜드 점수 상태 없음,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
2026-04-18,1000000095,매화 5송이 1호,https://godomall.speedycdn.net/a1ce4a197810c4cd52677b215337ca9e/goods/1000000095/image/list/1000000095_list_06.jpg,즉시 확인,15720000,-1,available,직전 동일 길이 기간과 비교 가능합니다.,최근 30일 매출이 직전기간 대비 -100.0%,관측 없음,역할 근거 없음,unavailable,unavailable,브랜드 점수 상태 없음,2026-04-18,2026-04-18,161962180,195510440,-0.17159318960153738
